Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,Major,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Learning_Style,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Grades
20.0,M,College,,C,80.0,Medium,14.0,Arts,Private,High,High,Yes,Low,Medium,Medium,Negative,Low,96.0,Yes,6.0,Healthy,Medium,5.0,No,Negative,No,,Visual,Yes,,Low,4.0,Medium,B
20.0,M,High School,40000.0,B,89.0,Low,11.0,Law,Public,Low,High,Yes,Medium,High,Medium,Positive,,37.0,Yes,9.0,Unhealthy,Low,8.0,Yes,Neutral,No,No,,Yes,No,High,5.0,Low,B
18.0,F,High School,30000.0,B,89.0,High,15.0,Business,Private,Low,Medium,No,Medium,Low,Low,Positive,Medium,87.0,No,8.0,Healthy,Low,8.0,,Positive,Yes,Yes,Visual,No,Yes,High,3.0,Low,C
22.0,,High School,60000.0,C,97.0,Medium,9.0,Arts,Private,Low,Medium,Yes,,,High,Negative,High,39.0,No,9.0,Balanced,Medium,6.0,No,Positive,Yes,No,,No,Yes,Low,3.0,Medium,B
20.0,M,College,50000.0,B,98.0,Low,9.0,Arts,Public,High,Medium,Yes,Medium,Medium,Low,Neutral,Medium,64.0,Yes,4.0,Unhealthy,High,2.0,Yes,Positive,Yes,No,Kinesthetic,No,Yes,High,2.0,Medium,B
19.0,F,College,30000.0,,72.0,High,11.0,Medicine,,Low,Medium,No,Medium,Medium,Medium,,Medium,39.0,Yes,7.0,Healthy,Low,7.0,Yes,Neutral,No,No,Auditory,Yes,No,Low,3.0,Low,C
22.0,F,High School,75000.0,A,92.0,Low,19.0,Arts,Private,Medium,Low,No,Low,Low,High,Neutral,Medium,35.0,No,5.0,Healthy,Low,8.0,Yes,Negative,,Yes,,Yes,No,Medium,5.0,High,A
18.0,M,Some College,60000.0,A,,High,8.0,Business,,Medium,Low,No,,Medium,Medium,Neutral,Medium,23.0,No,9.0,Unhealthy,High,3.0,No,Positive,Yes,No,Visual,No,Yes,Medium,3.0,,C
21.0,M,High School,40000.0,B,,,12.0,Engineering,,High,High,Yes,Medium,Low,High,Neutral,High,,No,8.0,Healthy,Low,3.0,Yes,Neutral,No,Yes,Visual,,Yes,Low,4.0,High,C
19.0,M,Some College,40000.0,B,94.0,High,16.0,Law,Public,Medium,,Yes,Low,Low,Medium,Neutral,Low,69.0,Yes,5.0,Unhealthy,High,3.0,Yes,Positive,No,No,Visual,Yes,Yes,Medium,3.0,Low,A
18.0,M,Graduate,,B,95.0,Low,9.0,Science,Private,,High,Yes,Low,Medium,High,,Low,29.0,Yes,5.0,Unhealthy,High,8.0,Yes,Neutral,Yes,Yes,Kinesthetic,No,Yes,Medium,6.0,High,A
22.0,F,Graduate,50000.0,B,94.0,,13.0,Business,Private,High,Low,No,,Low,Low,Neutral,High,47.0,Yes,,Healthy,Medium,9.0,No,Neutral,Yes,No,Auditory,No,No,Low,5.0,Medium,C
20.0,F,Some College,40000.0,A,82.0,Low,6.0,Law,Private,High,Low,Yes,High,Low,High,Neutral,,97.0,Yes,5.0,Unhealthy,Low,8.0,No,Positive,No,No,Kinesthetic,Yes,No,Medium,6.0,High,C
19.0,M,,30000.0,A,91.0,Medium,5.0,Engineering,Public,Medium,Low,No,Low,,Low,Negative,Medium,,Yes,4.0,Balanced,Low,4.0,Yes,Neutral,Yes,No,Visual,No,No,Medium,3.0,Medium,C
20.0,M,Some College,50000.0,C,78.0,Medium,10.0,Engineering,Public,High,Medium,Yes,High,,Low,Neutral,Low,88.0,No,4.0,Unhealthy,High,2.0,Yes,Neutral,No,,Auditory,Yes,No,High,6.0,High,A
19.0,M,High School,60000.0,A,78.0,Medium,17.0,Science,Public,Low,High,Yes,High,High,Low,Positive,Low,75.0,Yes,7.0,Unhealthy,Low,5.0,No,,Yes,Yes,Auditory,No,Yes,Medium,6.0,High,C
20.0,M,Graduate,50000.0,C,98.0,High,,Science,Private,Medium,High,Yes,High,Medium,High,Neutral,Medium,40.0,No,8.0,Healthy,Low,4.0,Yes,Negative,Yes,Yes,Visual,Yes,No,Low,,Low,C
19.0,M,Some College,40000.0,B,98.0,High,,Business,Private,Medium,Low,Yes,High,High,,Positive,Low,52.0,No,6.0,,Low,10.0,Yes,Negative,No,Yes,Visual,No,No,Low,2.0,Low,C
,M,Graduate,40000.0,,92.0,High,12.0,Engineering,Public,High,Low,No,High,Medium,Low,Neutral,Low,78.0,,8.0,Healthy,High,2.0,Yes,Neutral,Yes,Yes,Visual,No,Yes,Low,4.0,High,
22.0,M,High School,,B,89.0,Medium,,Business,Private,Low,Low,No,High,Low,Medium,Neutral,High,65.0,No,9.0,Unhealthy,High,7.0,No,Positive,Yes,No,Visual,No,,High,2.0,,C
18.0,M,Some College,75000.0,C,70.0,High,8.0,Law,Public,High,Low,No,Low,High,Medium,Neutral,Low,38.0,No,8.0,Unhealthy,Medium,10.0,Yes,Positive,No,,Kinesthetic,Yes,Yes,High,1.0,Low,A
19.0,F,Graduate,60000.0,B,91.0,High,16.0,Medicine,Public,Medium,Medium,Yes,,Medium,Medium,Positive,Low,76.0,Yes,7.0,Unhealthy,Medium,6.0,Yes,Neutral,Yes,No,Kinesthetic,No,Yes,High,2.0,High,B
21.0,M,High School,30000.0,C,83.0,Medium,10.0,Science,Private,High,High,No,High,Medium,High,Negative,High,91.0,No,,Unhealthy,Low,,,Neutral,Yes,No,Kinesthetic,No,Yes,Medium,3.0,Medium,B
19.0,F,,75000.0,,100.0,Medium,12.0,Arts,Private,High,Medium,Yes,Low,Low,High,Negative,Low,32.0,No,8.0,Balanced,Medium,10.0,No,Neutral,Yes,No,Visual,,No,,,Medium,B
22.0,F,High School,75000.0,C,98.0,Low,20.0,Business,Public,Low,High,No,Low,Low,Medium,Neutral,High,93.0,Yes,4.0,Healthy,Low,,Yes,Negative,Yes,Yes,Auditory,,No,High,,Medium,A
21.0,M,College,75000.0,A,,High,18.0,Arts,Public,Medium,Medium,No,Medium,Low,Medium,Positive,Low,51.0,No,8.0,Healthy,Medium,5.0,Yes,Neutral,,No,Visual,Yes,No,,6.0,,B
21.0,M,Graduate,,C,82.0,Low,13.0,Law,Public,Medium,Medium,Yes,Medium,High,Low,Negative,High,66.0,Yes,,Unhealthy,Low,4.0,No,Neutral,Yes,No,Visual,No,Yes,High,5.0,High,
19.0,M,High School,50000.0,A,94.0,Low,6.0,Arts,Public,Medium,High,Yes,Medium,Low,High,Positive,High,21.0,No,4.0,Unhealthy,Medium,5.0,,Positive,Yes,No,Kinesthetic,Yes,,Medium,4.0,Medium,B
18.0,M,High School,40000.0,C,76.0,High,8.0,Law,Public,Low,High,No,High,Low,Medium,,,26.0,,6.0,Unhealthy,,8.0,No,Negative,Yes,No,Visual,Yes,No,Medium,6.0,High,A
,F,College,50000.0,A,73.0,Low,12.0,Medicine,Public,Low,High,No,Medium,Medium,Low,,Medium,68.0,Yes,,Balanced,Medium,,Yes,Negative,,No,Visual,No,No,Low,5.0,,
,F,Graduate,30000.0,,98.0,Low,5.0,Law,Private,Low,Low,No,High,Low,Medium,Negative,Medium,80.0,Yes,8.0,Unhealthy,Medium,4.0,No,Neutral,Yes,Yes,Visual,No,No,Low,1.0,Medium,B
22.0,F,College,30000.0,,85.0,High,5.0,Arts,,Medium,Medium,Yes,High,High,Medium,Positive,High,58.0,No,5.0,Balanced,High,10.0,,Negative,Yes,No,Visual,No,Yes,Low,2.0,Low,C
21.0,M,College,60000.0,B,79.0,Low,20.0,Medicine,Private,High,High,No,High,Medium,,Neutral,Medium,84.0,Yes,9.0,Healthy,Medium,2.0,Yes,Positive,,No,Auditory,No,Yes,Low,4.0,Low,C
19.0,F,Some College,75000.0,A,84.0,Low,,,Private,High,High,Yes,Medium,Low,High,Negative,Low,26.0,Yes,8.0,Healthy,Low,10.0,No,Negative,No,Yes,Kinesthetic,No,No,Low,3.0,Low,C
19.0,F,Graduate,30000.0,C,,Low,8.0,Arts,,Low,High,Yes,High,Low,Medium,Neutral,Low,65.0,No,8.0,Healthy,High,6.0,No,Negative,Yes,No,Visual,No,No,Low,3.0,Medium,A
19.0,F,,50000.0,C,71.0,High,12.0,Law,Public,Medium,Medium,Yes,Medium,High,High,Positive,High,,No,5.0,Healthy,Medium,4.0,No,Neutral,Yes,Yes,Visual,Yes,Yes,Medium,5.0,Low,A
18.0,M,Graduate,50000.0,B,79.0,Low,15.0,Business,Public,Medium,High,No,High,High,Medium,,Medium,74.0,No,8.0,Unhealthy,Low,9.0,Yes,Neutral,No,Yes,Visual,No,Yes,Low,1.0,Medium,B
20.0,F,High School,30000.0,C,,Low,14.0,Engineering,Public,High,Medium,No,,Medium,High,Positive,Low,,No,5.0,Unhealthy,High,5.0,No,Positive,Yes,No,Auditory,Yes,No,Low,5.0,Low,B
18.0,M,Some College,75000.0,C,76.0,Low,13.0,Business,Private,,,Yes,High,Medium,High,Positive,Medium,45.0,Yes,8.0,Healthy,Low,10.0,,Neutral,Yes,,Kinesthetic,No,No,Medium,4.0,Low,
19.0,F,College,40000.0,B,,High,17.0,,Public,Medium,High,No,Medium,Low,Low,Neutral,High,64.0,No,,Healthy,Medium,,Yes,Neutral,Yes,No,Kinesthetic,Yes,No,Low,6.0,High,C
21.0,F,Some College,,A,81.0,Low,,Business,Public,Low,Low,Yes,Medium,High,Low,Positive,Medium,37.0,No,5.0,Unhealthy,Low,2.0,Yes,Negative,Yes,No,Kinesthetic,,No,High,1.0,Medium,B
20.0,F,Graduate,40000.0,A,77.0,Medium,15.0,Law,,Medium,Medium,Yes,,,Low,Negative,Low,29.0,No,9.0,,High,5.0,No,Negative,Yes,No,Visual,Yes,Yes,Medium,,Low,A
21.0,F,,60000.0,C,92.0,,18.0,,Public,Low,Low,No,Medium,Low,High,Negative,Low,55.0,Yes,4.0,Unhealthy,,4.0,Yes,Positive,No,Yes,Kinesthetic,Yes,,Low,5.0,,A
21.0,M,College,60000.0,,97.0,Low,17.0,Science,Public,Medium,Medium,No,Low,Medium,Low,Positive,High,73.0,,5.0,Unhealthy,Low,9.0,No,Positive,,,Auditory,No,No,Medium,2.0,Medium,C
22.0,F,Some College,60000.0,A,99.0,Medium,6.0,Arts,Private,Medium,High,No,,Low,High,Positive,High,69.0,No,9.0,Balanced,High,8.0,No,Neutral,Yes,Yes,Visual,No,No,Medium,4.0,Low,
20.0,F,College,75000.0,B,,Medium,11.0,Engineering,Private,Low,High,No,High,Medium,Medium,Neutral,High,29.0,Yes,9.0,Healthy,Medium,9.0,Yes,Negative,,Yes,Kinesthetic,No,Yes,Low,5.0,High,A
19.0,F,Graduate,50000.0,C,,,,Arts,Private,High,Medium,No,Medium,Low,Low,Positive,Medium,48.0,No,4.0,Balanced,High,5.0,No,Neutral,No,Yes,Visual,,No,High,3.0,High,B
,F,High School,60000.0,B,85.0,,13.0,Arts,Private,High,Low,Yes,Medium,High,Medium,Positive,Medium,46.0,Yes,8.0,Balanced,High,4.0,No,Neutral,Yes,,Auditory,Yes,No,Low,,Low,A
19.0,M,Graduate,75000.0,B,75.0,Medium,19.0,Arts,Private,High,Low,No,Low,,Low,Negative,Medium,81.0,Yes,7.0,Healthy,,5.0,Yes,Negative,No,No,Auditory,No,No,Low,1.0,,
19.0,M,Graduate,50000.0,A,,Medium,14.0,Law,,,,No,High,Low,Medium,,Medium,82.0,No,,Healthy,Medium,8.0,No,,No,Yes,Auditory,No,Yes,,1.0,Medium,
22.0,M,College,30000.0,B,80.0,Medium,,Business,Private,Medium,,Yes,Low,Medium,,Neutral,Medium,94.0,No,8.0,Balanced,Medium,,No,Neutral,Yes,Yes,Visual,No,Yes,Low,6.0,High,B
20.0,F,High School,30000.0,A,72.0,,14.0,Arts,Private,Low,High,No,High,Medium,High,Positive,High,75.0,Yes,4.0,Healthy,Medium,5.0,Yes,Negative,,Yes,Visual,No,Yes,Low,5.0,High,A
,M,Graduate,50000.0,C,95.0,Low,20.0,Business,Private,Low,Low,Yes,High,Low,High,Negative,Medium,73.0,No,8.0,Balanced,Low,9.0,Yes,Neutral,Yes,,Visual,No,No,Low,5.0,Low,A
19.0,M,Graduate,60000.0,B,70.0,High,15.0,,Private,Low,High,Yes,,Medium,High,Neutral,High,,Yes,9.0,Balanced,Medium,9.0,Yes,,No,Yes,Kinesthetic,Yes,Yes,High,3.0,High,C
,F,College,40000.0,,81.0,High,8.0,,Private,Low,Medium,Yes,Low,,Low,Positive,Medium,100.0,No,4.0,Balanced,High,8.0,Yes,Neutral,Yes,No,Visual,No,,Medium,3.0,High,A
22.0,M,College,40000.0,C,95.0,Medium,8.0,Business,Public,,Medium,No,Medium,Low,High,,High,28.0,,8.0,Unhealthy,Low,3.0,,Negative,Yes,Yes,Kinesthetic,No,No,Medium,5.0,Low,B
18.0,M,Some College,50000.0,B,99.0,Low,,Business,,High,High,Yes,High,Low,High,Neutral,High,82.0,Yes,4.0,Unhealthy,Medium,9.0,No,Positive,No,Yes,Kinesthetic,No,No,High,1.0,High,B
20.0,M,High School,75000.0,C,87.0,Low,13.0,Law,Public,High,Medium,,,Low,Low,Neutral,Medium,93.0,No,5.0,Balanced,Low,7.0,Yes,Neutral,No,Yes,Auditory,No,No,Medium,4.0,Medium,C
20.0,F,High School,75000.0,,86.0,Medium,,,Public,Low,Medium,Yes,High,Low,High,Positive,Medium,,,8.0,Unhealthy,Low,2.0,No,Positive,No,Yes,Visual,Yes,Yes,High,,High,C
20.0,F,College,75000.0,B,97.0,High,18.0,Engineering,Public,Medium,High,Yes,Low,Low,Low,Positive,Low,,No,5.0,Balanced,Low,5.0,No,Negative,Yes,Yes,Auditory,Yes,Yes,Medium,6.0,High,B
22.0,M,,75000.0,A,80.0,Medium,6.0,Business,Public,Medium,Medium,Yes,High,Low,Medium,Neutral,Medium,65.0,Yes,5.0,Healthy,Low,9.0,No,Negative,No,,Kinesthetic,Yes,No,High,2.0,High,C
20.0,,Some College,60000.0,C,83.0,High,16.0,Business,Public,High,Low,No,Medium,Medium,,Positive,High,40.0,Yes,9.0,Balanced,Low,,Yes,Negative,No,No,Kinesthetic,Yes,No,Low,2.0,Low,A
21.0,M,Graduate,40000.0,,71.0,High,20.0,Business,Public,Medium,Medium,Yes,Medium,Medium,Low,Neutral,Medium,90.0,,7.0,Unhealthy,High,10.0,,Positive,Yes,No,Kinesthetic,No,Yes,Medium,4.0,High,A
21.0,F,Some College,40000.0,A,81.0,Medium,8.0,Law,Public,Low,,Yes,Medium,High,,Negative,High,,No,4.0,,Medium,,No,Neutral,Yes,Yes,Auditory,No,,High,6.0,Low,B
22.0,F,Graduate,75000.0,A,81.0,Low,,Law,Private,Medium,Medium,No,High,Medium,High,Negative,Low,,Yes,6.0,Balanced,Low,3.0,No,Positive,Yes,No,Auditory,,No,High,4.0,,C
19.0,M,High School,40000.0,A,77.0,High,10.0,Engineering,Public,Medium,High,Yes,Low,Medium,Medium,Positive,Low,28.0,Yes,,,High,3.0,No,Negative,No,,Kinesthetic,Yes,Yes,High,5.0,Medium,C
18.0,M,Graduate,75000.0,A,88.0,High,19.0,Law,Private,Low,High,No,High,High,Low,,Medium,87.0,Yes,7.0,Healthy,,4.0,Yes,Neutral,Yes,Yes,Kinesthetic,Yes,No,Medium,2.0,,C
21.0,F,Some College,75000.0,B,91.0,High,18.0,Science,Public,Medium,High,No,Medium,Low,Medium,Negative,High,91.0,Yes,9.0,Balanced,,6.0,Yes,Positive,No,No,Kinesthetic,Yes,No,Low,5.0,Low,C
21.0,M,,60000.0,C,78.0,Medium,,Business,Private,Low,Medium,,High,High,High,Positive,Medium,27.0,Yes,4.0,Unhealthy,Medium,,Yes,Positive,No,Yes,Kinesthetic,No,Yes,Medium,6.0,Low,C
20.0,M,Some College,,B,73.0,Low,7.0,Law,Public,Low,Medium,Yes,High,Low,Low,Negative,High,34.0,No,6.0,Balanced,Low,10.0,No,Neutral,Yes,,Visual,No,No,High,1.0,Medium,C
20.0,M,Graduate,30000.0,C,,High,8.0,Law,Private,,High,No,Medium,Medium,High,Positive,High,81.0,No,5.0,Balanced,High,9.0,,Neutral,No,No,Kinesthetic,No,No,High,,Low,A
18.0,M,High School,75000.0,A,82.0,,13.0,Law,Private,Medium,Low,No,Medium,High,,Negative,High,70.0,No,5.0,,Low,9.0,No,Positive,Yes,Yes,Visual,No,No,Low,3.0,Low,C
22.0,M,High School,40000.0,B,89.0,Low,10.0,Arts,Private,High,,Yes,High,Medium,Low,Positive,Low,34.0,Yes,5.0,,Low,8.0,No,Positive,,,Visual,No,No,Low,4.0,Low,B
21.0,F,Some College,,,92.0,High,,Business,Private,Medium,Medium,Yes,Low,High,High,Positive,Medium,86.0,No,4.0,,Medium,5.0,Yes,Negative,Yes,No,,Yes,Yes,,2.0,Low,B
19.0,F,College,75000.0,C,92.0,High,17.0,Science,Public,High,High,No,Medium,High,Medium,Positive,Low,91.0,Yes,,,Low,,No,Neutral,,No,Auditory,Yes,No,High,3.0,High,A
22.0,M,College,50000.0,C,84.0,Medium,7.0,Medicine,Public,High,High,Yes,,Low,High,,Medium,100.0,Yes,9.0,Healthy,Medium,4.0,No,Positive,Yes,Yes,Visual,Yes,Yes,,2.0,Low,C
22.0,M,High School,,B,88.0,Low,18.0,Business,,High,Medium,Yes,High,Low,High,Positive,Medium,58.0,Yes,5.0,Healthy,,10.0,Yes,Positive,Yes,No,Kinesthetic,Yes,No,High,2.0,Low,A
19.0,F,High School,30000.0,C,75.0,,13.0,Medicine,Private,Medium,,Yes,High,High,High,Positive,Low,23.0,Yes,7.0,Balanced,Low,4.0,Yes,Negative,Yes,Yes,Visual,Yes,No,Low,6.0,High,B
20.0,F,High School,40000.0,A,79.0,,17.0,Law,Private,Medium,,Yes,High,High,Low,Positive,Medium,71.0,No,7.0,Unhealthy,Low,9.0,Yes,,Yes,No,Visual,No,Yes,Low,1.0,High,B
,M,Some College,40000.0,C,70.0,Medium,9.0,Medicine,Private,Low,High,No,High,,Low,,Medium,71.0,Yes,9.0,Unhealthy,Medium,9.0,Yes,Negative,Yes,Yes,,Yes,No,High,5.0,High,A
21.0,M,High School,30000.0,B,73.0,Low,14.0,,Public,High,High,No,High,High,,Negative,Low,21.0,No,6.0,Balanced,Low,,Yes,Negative,Yes,No,Kinesthetic,Yes,No,Medium,4.0,High,B
22.0,F,High School,50000.0,,91.0,High,13.0,Business,Private,Low,Medium,,Medium,Low,Medium,Negative,High,31.0,No,4.0,Balanced,High,2.0,Yes,Positive,No,Yes,Kinesthetic,No,Yes,High,5.0,Low,
18.0,F,,60000.0,B,85.0,Low,11.0,Science,Private,Medium,High,No,Medium,High,,Neutral,Medium,63.0,No,9.0,,,8.0,,Positive,Yes,Yes,Kinesthetic,No,Yes,Low,4.0,,A
21.0,F,,30000.0,C,70.0,Low,15.0,,Private,High,Low,Yes,High,High,Low,Positive,High,40.0,Yes,8.0,Balanced,Medium,8.0,No,Negative,,No,Kinesthetic,Yes,Yes,Low,6.0,,C
21.0,M,Some College,60000.0,C,79.0,Low,6.0,Science,Public,High,Low,No,High,Low,Low,Neutral,,56.0,Yes,4.0,Balanced,High,7.0,Yes,,No,No,Visual,,Yes,Medium,,High,A
19.0,M,Graduate,75000.0,,,High,6.0,Arts,,High,Medium,No,Medium,Medium,,Negative,Low,81.0,No,5.0,Balanced,Medium,9.0,Yes,Negative,,,Auditory,No,No,,1.0,Medium,A
,F,Some College,60000.0,C,90.0,Low,14.0,Law,Private,,High,,High,Medium,Medium,Negative,High,64.0,Yes,,,Low,10.0,Yes,Neutral,No,No,Auditory,Yes,Yes,,2.0,High,C
21.0,M,Graduate,50000.0,,99.0,Low,19.0,,Private,High,High,Yes,Medium,Medium,Low,Positive,Medium,,No,5.0,Unhealthy,High,7.0,Yes,Negative,Yes,Yes,Auditory,Yes,Yes,Medium,5.0,Medium,A
21.0,F,High School,30000.0,B,77.0,Medium,,Medicine,Private,Low,Medium,Yes,High,,Low,Negative,Medium,48.0,,5.0,Unhealthy,High,5.0,Yes,Neutral,Yes,No,Visual,Yes,Yes,High,2.0,High,A
22.0,F,Some College,30000.0,A,70.0,High,16.0,Law,Private,Medium,Low,Yes,Low,Low,Low,Neutral,Medium,97.0,No,5.0,Balanced,Medium,2.0,No,Negative,,No,Kinesthetic,,No,Medium,3.0,Low,B
22.0,F,,30000.0,B,75.0,High,16.0,Medicine,Private,High,Low,No,Low,Medium,Medium,Neutral,Medium,86.0,No,4.0,Unhealthy,High,9.0,Yes,Positive,Yes,,Visual,No,Yes,Medium,3.0,Medium,A
22.0,F,High School,75000.0,B,79.0,Medium,,Medicine,Public,Low,Low,Yes,,High,Low,Positive,Medium,82.0,Yes,,Unhealthy,Medium,8.0,Yes,Positive,Yes,No,Auditory,No,No,High,3.0,Medium,
20.0,F,Some College,50000.0,B,89.0,High,11.0,Law,Public,Medium,Low,Yes,Low,High,Low,Negative,Low,56.0,Yes,4.0,Healthy,Medium,3.0,No,Negative,Yes,Yes,Kinesthetic,Yes,No,,5.0,Low,
18.0,,College,30000.0,C,91.0,High,20.0,Arts,Public,Medium,High,,Medium,High,Low,Neutral,High,32.0,Yes,6.0,Healthy,Low,7.0,No,Negative,No,No,Auditory,No,Yes,High,4.0,,B
18.0,F,Graduate,75000.0,,74.0,Medium,8.0,Law,Public,,High,No,High,Low,Medium,Neutral,High,65.0,No,8.0,Healthy,,10.0,,Positive,No,Yes,Visual,Yes,,Medium,3.0,Low,
18.0,,Graduate,60000.0,C,99.0,,19.0,Medicine,Private,Medium,Medium,No,Low,Low,Low,Positive,Medium,89.0,No,8.0,Healthy,Low,8.0,No,Negative,,Yes,Kinesthetic,,Yes,High,,High,C
19.0,F,College,60000.0,C,98.0,High,16.0,Engineering,Public,Low,High,Yes,High,,Medium,,Low,47.0,Yes,9.0,,Medium,4.0,No,Positive,Yes,,Kinesthetic,No,Yes,Medium,6.0,High,C
20.0,M,High School,,B,88.0,High,6.0,Science,Public,,High,No,High,High,Low,Negative,Medium,39.0,Yes,5.0,Balanced,Medium,3.0,Yes,Negative,Yes,Yes,Visual,,No,High,1.0,High,A
22.0,,High School,60000.0,C,93.0,Medium,8.0,Business,Private,High,High,Yes,High,,High,Negative,Medium,82.0,Yes,6.0,Unhealthy,Medium,2.0,Yes,Negative,Yes,No,Visual,Yes,,Low,1.0,,C
19.0,F,Some College,75000.0,A,96.0,,14.0,Business,Public,High,Low,No,Medium,,Medium,Negative,Medium,57.0,No,6.0,Balanced,High,,No,Neutral,Yes,No,Kinesthetic,,Yes,Low,,,A
21.0,,,75000.0,A,,High,10.0,Business,Private,High,Low,No,High,High,High,Neutral,,,Yes,7.0,Balanced,High,2.0,,Neutral,Yes,No,Visual,Yes,No,Low,1.0,High,C
18.0,F,College,60000.0,C,79.0,Medium,16.0,Engineering,Public,High,Low,Yes,High,Low,Low,Positive,High,44.0,No,4.0,Balanced,Low,,No,Neutral,No,Yes,,Yes,,Medium,1.0,Medium,B
20.0,M,High School,40000.0,C,87.0,High,5.0,Engineering,Public,Medium,Medium,Yes,High,Low,,Positive,High,,No,6.0,Unhealthy,Low,9.0,Yes,Negative,No,No,Auditory,Yes,Yes,High,6.0,Low,C
21.0,M,Some College,75000.0,C,,Medium,6.0,Law,Private,Low,Low,No,Low,,Low,Negative,Medium,,No,9.0,Unhealthy,High,4.0,Yes,Positive,No,Yes,Visual,,No,Medium,,Medium,
21.0,F,Some College,30000.0,C,,Medium,7.0,Science,Private,Low,Medium,Yes,Low,Medium,Low,Positive,High,62.0,No,6.0,,Medium,5.0,Yes,Neutral,No,No,Kinesthetic,Yes,No,Low,3.0,Medium,B
20.0,F,High School,75000.0,C,84.0,Low,11.0,Engineering,Public,High,Medium,No,Low,Medium,Low,Negative,Low,99.0,No,8.0,Unhealthy,,4.0,No,Negative,Yes,No,Kinesthetic,No,Yes,Medium,4.0,Medium,B
18.0,F,Graduate,50000.0,A,70.0,Low,13.0,Arts,Public,Low,Medium,No,Medium,Medium,Medium,Neutral,Low,72.0,Yes,8.0,Unhealthy,High,3.0,Yes,Positive,No,No,Visual,No,,Medium,3.0,Low,A
20.0,M,High School,75000.0,B,72.0,Low,5.0,Engineering,Private,Medium,Low,Yes,,High,Low,Positive,,54.0,,6.0,,High,3.0,No,Positive,No,No,Visual,Yes,No,Low,6.0,Low,C
18.0,M,Some College,30000.0,B,98.0,Medium,15.0,Engineering,Public,Low,Medium,No,High,Low,Medium,Neutral,High,23.0,Yes,6.0,Healthy,High,7.0,No,Neutral,No,No,Visual,Yes,No,Low,6.0,High,B
19.0,M,High School,50000.0,C,81.0,High,12.0,Business,Public,High,High,No,Medium,Low,Medium,Neutral,Low,44.0,Yes,,Unhealthy,Medium,9.0,Yes,Negative,No,No,Auditory,Yes,Yes,High,3.0,Low,B
22.0,M,Graduate,40000.0,A,88.0,High,8.0,Arts,Public,Low,Medium,Yes,,High,Low,Negative,High,92.0,Yes,,Unhealthy,High,,Yes,Positive,No,No,Auditory,Yes,Yes,High,4.0,Medium,B
19.0,F,Graduate,75000.0,B,93.0,Low,5.0,Medicine,Public,,Medium,No,Low,Low,Medium,Negative,Low,57.0,,4.0,Balanced,Medium,6.0,Yes,Neutral,Yes,Yes,Auditory,Yes,No,,4.0,Low,C
18.0,M,Graduate,75000.0,A,,Medium,13.0,,Public,High,Low,No,Medium,High,High,Negative,High,35.0,Yes,5.0,Healthy,Medium,6.0,No,Negative,Yes,No,Auditory,No,Yes,Low,6.0,,A
20.0,M,High School,40000.0,B,72.0,High,19.0,Medicine,Private,Medium,High,No,High,High,Medium,Positive,Low,,No,8.0,Unhealthy,Low,6.0,No,Neutral,No,No,Kinesthetic,Yes,Yes,Medium,,High,C
19.0,,Some College,40000.0,A,80.0,Low,5.0,Medicine,Public,High,Low,Yes,Low,Medium,Low,,Medium,88.0,Yes,,,,,Yes,Negative,Yes,Yes,Kinesthetic,Yes,No,Low,2.0,Low,B
19.0,F,College,75000.0,C,91.0,Low,5.0,Arts,Private,Medium,High,Yes,Medium,,High,Positive,Medium,50.0,,6.0,Healthy,High,7.0,Yes,Positive,,Yes,Kinesthetic,Yes,No,Medium,5.0,High,B
21.0,F,High School,,C,99.0,High,9.0,Engineering,,High,Low,Yes,Low,Low,Low,Negative,High,31.0,,7.0,Balanced,High,4.0,No,Negative,No,No,Kinesthetic,Yes,No,Low,3.0,,C
20.0,M,High School,50000.0,B,,Medium,14.0,,Public,Low,Medium,No,Low,,Low,Negative,High,,No,6.0,Balanced,Medium,6.0,No,Positive,No,Yes,Auditory,Yes,Yes,Low,4.0,Medium,A
21.0,F,Some College,75000.0,A,72.0,Medium,8.0,Medicine,Public,Low,Medium,Yes,High,Medium,,Neutral,Low,54.0,,,Unhealthy,Medium,8.0,Yes,Neutral,No,Yes,Visual,Yes,Yes,Medium,2.0,Low,C
18.0,M,High School,30000.0,C,80.0,Medium,11.0,Business,,High,Medium,Yes,,High,Medium,Positive,Medium,73.0,Yes,4.0,Balanced,High,4.0,Yes,Negative,Yes,No,Auditory,No,Yes,Medium,3.0,Medium,
22.0,M,Graduate,75000.0,,89.0,Medium,,Science,Public,Low,High,Yes,Medium,Low,High,Positive,Low,57.0,,7.0,Balanced,Low,7.0,,Neutral,Yes,No,,Yes,No,Low,,Medium,A
20.0,F,Graduate,30000.0,C,84.0,High,18.0,Medicine,Public,High,Low,Yes,High,Low,High,Negative,Medium,36.0,Yes,9.0,Healthy,Low,5.0,No,Positive,No,No,Visual,Yes,No,Low,4.0,Medium,
